,LATNUM,LONGNUM
0,18.203931916,120.567230648
1,17.5777401922,120.3938421668
2,16.6099242742,120.3082768733
3,16.8063498013,120.377002636
4,16.163119301,119.9868525547
5,16.0839797394,120.3551684161
6,20.4606173863,121.958323063
7,17.1212151197,121.6119698212
8,16.7257601945,121.5688703892
9,16.4776621698,121.1588837284
10,16.4023174887,121.1058895286
11,16.5854290307,121.5187683205
12,14.6596285896,120.2942003647
13,14.6694498974,120.5449137694
14,14.6243124776,120.5599190793
15,14.8151597337,120.5376587558
16,14.5714411973,120.5927368121
17,14.5689823069,120.5858325887
18,14.858697593,120.9701336013
19,14.8654168416,121.0474397093
20,14.788699049,121.0178264403
21,14.8897049739,120.8361762323
22,14.8518928308,120.7339931515
23,14.8614087915,120.9081960329
24,14.9208869046,120.7816563803
25,14.7027402771,120.9335157174
26,14.8125973231,120.7204830387
27,15.3023153951,120.8856377321
28,15.3433122949,120.9776303711
29,15.7805193266,120.9921424018
30,15.4759000444,121.0252525927
31,15.1365786264,120.6001717019
32,15.1630467864,120.6320745082
33,15.1724264934,120.5656311803
34,15.1572396055,120.5893748818
35,15.1460417103,120.6028572027
36,15.1256219775,120.6120188683
37,15.1530954226,120.5534892272
38,15.1269052235,120.6676970538
39,15.2255694364,120.6284579746
40,15.1175301726,120.637011006
41,14.9441132601,120.7434418354
42,14.9537950664,120.7553281495
43,15.0625524762,120.7188344839
44,15.0244826568,120.6889691052
45,14.9671554184,120.6516885536
46,14.9691355308,120.7779425593
47,15.4854891604,120.5855708124
48,15.2611665351,120.5222704529
49,15.4248423895,120.5984246985
50,15.4829486189,120.604441304
51,14.8578347652,120.2930304169
52,14.8489576122,120.2989592654
53,14.8456964085,120.3007874596
54,14.8444625488,120.3026415138
55,14.8435720758,120.2665974178
56,14.844461556,120.2881512946
57,14.842477858,120.2713966759
58,15.5865902013,119.9341695433
59,14.909754229,120.2005615373
60,15.5274931712,119.9564527254
61,14.946026567,120.1940560282
62,14.4137777826,120.8424377414
63,14.2898187264,120.9998149171
64,14.3941767493,120.8725586793
65,14.0917665948,120.9321319966
66,14.1267003165,121.3235896439
67,14.2060400076,121.2257785159
68,14.262865354,121.0646088954
69,14.2747043393,121.1291455733
70,14.2021873762,121.0817507281
71,14.2488623892,121.1448656834
72,14.3320684382,121.0510729437
73,14.1803656307,121.1991841306
74,13.9623094816,121.6176382598
75,13.9375817632,121.5953414997
76,13.9263364541,121.6079872779
77,13.9493308172,121.5712157521
78,13.9364467702,121.427695208
79,13.9526882518,122.2824351692
80,14.7136696653,121.1411269423
81,14.752326057,121.1355259482
82,14.6429387911,121.1500635383
83,14.5043932472,121.2758472589
84,14.4752917538,121.2088221434
85,14.5488828986,121.1214185777
86,14.5674420339,121.1249879899
87,14.7460858281,121.1665831156
88,14.6286888889,121.1660996435
89,14.5155067894,121.2381322054
90,14.5836068997,121.1472899521
91,14.5542778758,121.1354316353
92,13.2749864866,123.7705497989
93,13.1324573897,123.7459324205
94,13.0668341536,123.6890904884
95,14.2836977242,122.691224455
96,14.1186115709,123.0001497929
97,13.4093427978,123.4079402092
98,13.6366222,123.1906180825
99,12.4660592159,123.3734704519
100,10.8140266859,122.959345653
101,10.5909741726,123.041359381
102,9.8158481136,122.4458324932
103,10.2826072476,122.8547672185
104,10.3664413075,123.0142670778
105,10.8263595137,123.0495878582
106,10.8861264064,123.5109962121
107,10.5587853186,123.1975893991
108,10.5906305528,122.9458325742
109,10.4858626977,122.9226495902
110,10.6679301019,122.9862070809
111,10.6740505402,123.0516680457
112,10.6533924864,123.0176536031
113,10.6307103668,122.9550553749
114,10.659140093,122.944504905
115,10.601645854,122.9083988946
116,10.6086481891,122.9689760169
117,10.6732388568,123.0280389081
118,10.6755827816,122.992326518
119,10.6888889311,122.9686622123
120,10.6506867972,122.9617820798
121,10.6213996035,123.0119585461
122,10.6226810879,122.9390532889
123,10.6627469694,122.9320514238
124,11.9499578671,121.9302820891
125,11.5819011747,122.7414350937
126,11.6031950211,122.7391406874
127,11.4759492012,122.7485530546
128,10.598575847,122.5947046664
129,10.723638273,122.5527423749
130,10.7366543618,122.5446869212
131,10.7006409456,122.5836412804
132,10.683396422,122.5033701116
133,10.7114115747,122.5477587556
134,10.7082339545,122.5613068929
135,10.275543559,123.3140685715
136,9.3694986419,122.7964627406
137,10.3918043287,123.9255746662
138,10.3169606512,123.9030810323
139,10.3180643433,123.8780048713
140,10.3100308341,123.9053781649
141,10.2820388855,123.8542231979
142,10.2848427683,123.8680434904
143,10.2889959757,123.8718927314
144,10.3118269381,123.8969546989
145,10.3020488382,123.994802146
146,10.3040202667,123.9852863136
147,10.3251821336,123.9736547028
148,10.29147623,124.0003804896
